Sample Id,Site,Species,3GCR,GENR,CTXM,SHV,TEM,KPC,IMP,NDM,VIM,CMY2,DHA,OXA10,OXA30,OXA48,VEB,GES,ACTMIR,aac(3)II,aacA4,aac6Ib/II,aadB,armA,rmtB,rmtC,rmtF,
BRA001,Brazil,E. coli,R,S,CTX-M-8-like,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
BRA002,Brazil,E. coli,R,S,CTX-M-15-like + CTX-M-8-like,,,,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA003,Brazil,E. coli,R,R,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA004,Brazil,E. coli,R,S,CTX-M-2-like,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
BRA005,Brazil,E. coli,R,R,CTX-M-8-like,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,aacA4 (Gen),,,,,,,
BRA006,Brazil,E. coli,R,S,,SHV (238),TEM-1-like,,,,,,,,,,,,,,,,,,,,,
BRA007,Brazil,E. coli,R,S,,SHV (238),TEM-1-like,,,,,CMY-2-like,,,,,,,,,,,,,,,,
BRA008,Brazil,E. coli,R,S,,SHV (238),TEM-1-like,,,,,,,,,,,,,,,,,,,,,
BRA009,Brazil,E. coli,R,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
BRA010,Brazil,E. coli,R,S,,SHV-5/12-like,,KPC,,,,,,,OXA-30,,,,,,aacA4 (Amk),,,,,,,
BRA011,Brazil,E. coli,R,S,CTX-M-8-like,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
BRA012,Brazil,E. coli,R,S,CTX-M-8-like,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
BRA013,Brazil,E. coli,R,S,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA014,Brazil,E. coli,R,S,CTX-M-8-like,,,,,,,,,,,,,,,,,,,,,,,
BRA015,Brazil,E. coli,R,S,CTX-M-15-like + CTX-M-8-like,,,,,,,,,,,,,,,,,,,,,,,
BRA016,Brazil,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IId,aacA4 cr (C),,,,,,,
BRA017,Brazil,E. coli,R,R,CTX-M-2-like,,,,,,,,,,,,,,,,,,,,,,,
BRA018,Brazil,E. coli,R,S,CTX-M-8-like,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
BRA019,Brazil,E. coli,R,R,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA020,Brazil,E. coli,R,S,,,TEM-1-like,KPC,,,,,,,,,,,,,,,,,,,,
BRA021,Brazil,E. coli,R,S,CTX-M-15-like,SHV (238),TEM-1-like,KPC,,,,,,,,,,,,,,,,,,,,
BRA022,Brazil,E. coli,R,S,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA023,Brazil,E. coli,R,S,CTX-M-27-like,,,,,,,,,,,,,,,,,,,,,,,
BRA024,Brazil,E. coli,R,S,CTX-M-8-like,,,,,,,,,,,,,,,,,,,,,,,
BRA025,Brazil,E. coli,R,S,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA026,Brazil,E. coli,R,S,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA027,Brazil,E. coli,R,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
BRA028,Brazil,E. coli,R,S,,,TEM-1-like,,,,,CMY-2-like,,,,,,,,,,,,,,,,
BRA029,Brazil,E. coli,R,S,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA030,Brazil,E. coli,R,R,CTX-M-8-like,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
BRA031,Brazil,E. coli,R,S,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
BRA032,Brazil,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA033,Brazil,E. coli,R,S,CTX-M-27-like,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
BRA034,Brazil,E. coli,R,R,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
BRA035,Brazil,E. coli,R,R,CTX-M-9-like,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,rmtB,,,
BRA036,Brazil,E. coli,R,R,CTX-M-9 and CTX-M-8,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,aacA4 (Amk),,,,,,,
BRA037,Brazil,E. coli,R,S,,,TEM-1-like,,,,,CMY-2-like,,,,,,,,,,,,,,,,
BRA038,Brazil,E. coli,R,S,CTX-M-8-like,,,,,,,,,,,,,,,,,,,,,,,
BRA039,Brazil,E. coli,R,S,CTX-M-9-like,,,,,,,,,,,,,,,,,,,,,,,
BRA040,Brazil,E. coli,R,S,CTX-M-8-like,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
BRA041,Brazil,E. coli,R,R,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
