Sample_Id,Gene,Rule_Id,Final_interpretation,IsPassedRule
BRA001,DHA,,,
BRA001,GES,,,
BRA001,IMP,,,
BRA001,KPC,,,
BRA001,NDM,,,
BRA001,OXA-10,,,
BRA001,OXA-30,,,
BRA001,OXA-48,,,
BRA001,SHV,,,
BRA001,TEM,157,blaTEM-1-like,1
BRA001,VEB,,,
BRA001,VIM,,,
BRA001,aac(3)-II,22,aac(3)-IIe_3neg,1
BRA001,aacA27,,,
BRA001,aacA4,,,
BRA001,aadB,,,
BRA001,armA,,,
BRA001,blaACT/blaMIR,,,
BRA001,blaCMY-2-like,,,
BRA001,blaCTX-M,64,G8,1
BRA001,fosA3,,,
BRA001,rmtB,,,
BRA001,rmtC,,,
BRA001,rmtF,,,
BRA002,DHA,,,
BRA002,GES,,,
BRA002,IMP,,,
BRA002,KPC,,,
BRA002,NDM,,,
BRA002,OXA-10,,,
BRA002,OXA-30,117,blaOXA-30-like,1
BRA002,OXA-48,,,
BRA002,SHV,,,
BRA002,TEM,,,
BRA002,VEB,,,
BRA002,VIM,,,
BRA002,aac(3)-II,,,
BRA002,aacA27,,,
BRA002,aacA4,,,
BRA002,aadB,,,
BRA002,armA,,,
BRA002,blaACT/blaMIR,,,
BRA002,blaCMY-2-like,,,
BRA002,blaCTX-M,81,G1-240G+G8,1
BRA002,fosA3,,,
BRA002,rmtB,,,
BRA002,rmtC,,,
BRA002,rmtF,,,
BRA003,DHA,,,
BRA003,GES,,,
BRA003,IMP,,,
BRA003,KPC,,,
BRA003,NDM,,,
BRA003,OXA-10,,,
BRA003,OXA-30,117,blaOXA-30-like,1
BRA003,OXA-48,,,
BRA003,SHV,,,
BRA003,TEM,,,
BRA003,VEB,,,
BRA003,VIM,,,
BRA003,aac(3)-II,16,aac(3)-IIe,1
BRA003,aacA27,,,
BRA003,aacA4,,,
BRA003,aadB,,,
BRA003,armA,,,
BRA003,blaACT/blaMIR,,,
BRA003,blaCMY-2-like,,,
BRA003,blaCTX-M,80,G1-240G,1
BRA003,fosA3,,,
BRA003,rmtB,,,
BRA003,rmtC,,,
BRA003,rmtF,,,
BRA004,DHA,,,
BRA004,GES,,,
BRA004,IMP,,,
BRA004,KPC,,,
BRA004,NDM,,,
BRA004,OXA-10,,,
BRA004,OXA-30,,,
BRA004,OXA-48,,,
BRA004,SHV,,,
BRA004,TEM,157,blaTEM-1-like,1
BRA004,VEB,,,
BRA004,VIM,,,
BRA004,aac(3)-II,,,
BRA004,aacA27,,,
BRA004,aacA4,,,
BRA004,aadB,,,
BRA004,armA,,,
BRA004,blaACT/blaMIR,,,
BRA004,blaCMY-2-like,,,
BRA004,blaCTX-M,66,G2,1
BRA004,fosA3,,,
BRA004,rmtB,,,
BRA004,rmtC,,,
BRA004,rmtF,,,
BRA005,DHA,,,
BRA005,GES,,,
BRA005,IMP,,,
BRA005,KPC,,,
BRA005,NDM,,,
BRA005,OXA-10,,,
BRA005,OXA-30,,,
BRA005,OXA-48,,,
BRA005,SHV,,,
BRA005,TEM,157,blaTEM-1-like,1
BRA005,VEB,,,
BRA005,VIM,,,
BRA005,aac(3)-II,6,aac(3)-IId,1
BRA005,aacA27,,,
BRA005,aacA4,,,
BRA005,aadB,,,
BRA005,armA,,,
BRA005,blaACT/blaMIR,,,
BRA005,blaCMY-2-like,,,
BRA005,blaCTX-M,64,G8,1
BRA005,fosA3,,,
BRA005,rmtB,,,
BRA005,rmtC,,,
BRA005,rmtF,,,
BRA006,DHA,,,
BRA006,GES,,,
BRA006,IMP,,,
BRA006,KPC,,,
BRA006,NDM,,,
BRA006,OXA-10,,,
BRA006,OXA-30,,,
BRA006,OXA-48,,,
BRA006,SHV,,,
BRA006,TEM,157,blaTEM-1-like,1
BRA006,VEB,,,
BRA006,VIM,,,
BRA006,aac(3)-II,,,
BRA006,aacA27,,,
BRA006,aacA4,,,
BRA006,aadB,,,
BRA006,armA,,,
BRA006,blaACT/blaMIR,,,
BRA006,blaCMY-2-like,,,
BRA006,blaCTX-M,,,
BRA006,fosA3,105,fosA3,1
BRA006,rmtB,,,
BRA006,rmtC,,,
BRA006,rmtF,,,
BRA007,DHA,,,
BRA007,GES,,,
BRA007,IMP,,,
BRA007,KPC,,,
BRA007,NDM,,,
BRA007,OXA-10,,,
BRA007,OXA-30,,,
BRA007,OXA-48,,,
BRA007,SHV,,,
BRA007,TEM,157,blaTEM-1-like,1
BRA007,VEB,,,
BRA007,VIM,,,
BRA007,aac(3)-II,,,
BRA007,aacA27,,,
BRA007,aacA4,,,
BRA007,aadB,,,
BRA007,armA,,,
BRA007,blaACT/blaMIR,,,
BRA007,blaCMY-2-like,57,blaCMY-2-like,1
BRA007,blaCTX-M,,,
BRA007,fosA3,,,
BRA007,rmtB,,,
BRA007,rmtC,,,
BRA007,rmtF,,,
BRA008,DHA,,,
BRA008,GES,,,
BRA008,IMP,,,
BRA008,KPC,,,
BRA008,NDM,,,
BRA008,OXA-10,,,
BRA008,OXA-30,,,
BRA008,OXA-48,,,
BRA008,SHV,,,
BRA008,TEM,157,blaTEM-1-like,1
BRA008,VEB,,,
BRA008,VIM,,,
BRA008,aac(3)-II,,,
BRA008,aacA27,,,
BRA008,aacA4,,,
BRA008,aadB,,,
BRA008,armA,,,
BRA008,blaACT/blaMIR,,,
BRA008,blaCMY-2-like,,,
BRA008,blaCTX-M,,,
BRA008,fosA3,,,
BRA008,rmtB,,,
BRA008,rmtC,,,
BRA008,rmtF,,,
BRA009,DHA,,,
BRA009,GES,,,
BRA009,IMP,,,
BRA009,KPC,,,
BRA009,NDM,,,
BRA009,OXA-10,,,
BRA009,OXA-30,,,
BRA009,OXA-48,,,
BRA009,SHV,,,
BRA009,TEM,162,blaTEM_1neg,1
BRA009,VEB,,,
BRA009,VIM,,,
BRA009,aac(3)-II,,,
BRA009,aacA27,,,
BRA009,aacA4,,,
BRA009,aadB,,,
BRA009,armA,,,
BRA009,blaACT/blaMIR,,,
BRA009,blaCMY-2-like,,,
BRA009,blaCTX-M,,,
BRA009,fosA3,,,
BRA009,rmtB,,,
BRA009,rmtC,,,
BRA009,rmtF,,,
BRA010,DHA,,,
BRA010,GES,,,
BRA010,IMP,,,
BRA010,KPC,113,blaKPC,1
BRA010,NDM,,,
BRA010,OXA-10,,,
BRA010,OXA-30,117,blaOXA-30-like,1
BRA010,OXA-48,,,
BRA010,SHV,,,
BRA010,TEM,,,
BRA010,VEB,,,
BRA010,VIM,,,
BRA010,aac(3)-II,,,
BRA010,aacA27,,,
BRA010,aacA4,,,
BRA010,aadB,,,
BRA010,armA,,,
BRA010,blaACT/blaMIR,,,
BRA010,blaCMY-2-like,,,
BRA010,blaCTX-M,,,
BRA010,fosA3,,,
BRA010,rmtB,,,
BRA010,rmtC,,,
BRA010,rmtF,,,
BRA011,DHA,,,
BRA011,GES,,,
BRA011,IMP,,,
BRA011,KPC,,,
BRA011,NDM,,,
BRA011,OXA-10,,,
BRA011,OXA-30,,,
BRA011,OXA-48,,,
BRA011,SHV,,,
BRA011,TEM,157,blaTEM-1-like,1
BRA011,VEB,,,
BRA011,VIM,,,
BRA011,aac(3)-II,,,
BRA011,aacA27,,,
BRA011,aacA4,,,
BRA011,aadB,,,
BRA011,armA,,,
BRA011,blaACT/blaMIR,,,
BRA011,blaCMY-2-like,,,
BRA011,blaCTX-M,64,G8,1
BRA011,fosA3,,,
BRA011,rmtB,,,
BRA011,rmtC,,,
BRA011,rmtF,,,
BRA012,DHA,,,
BRA012,GES,,,
BRA012,IMP,,,
BRA012,KPC,,,
BRA012,NDM,,,
BRA012,OXA-10,,,
BRA012,OXA-30,,,
BRA012,OXA-48,,,
BRA012,SHV,,,
BRA012,TEM,157,blaTEM-1-like,1
BRA012,VEB,,,
BRA012,VIM,,,
BRA012,aac(3)-II,,,
BRA012,aacA27,,,
BRA012,aacA4,,,
BRA012,aadB,,,
BRA012,armA,,,
BRA012,blaACT/blaMIR,,,
BRA012,blaCMY-2-like,,,
BRA012,blaCTX-M,64,G8,1
BRA012,fosA3,,,
BRA012,rmtB,,,
BRA012,rmtC,,,
BRA012,rmtF,,,
BRA013,DHA,,,
BRA013,GES,,,
BRA013,IMP,,,
BRA013,KPC,,,
BRA013,NDM,,,
BRA013,OXA-10,,,
BRA013,OXA-30,117,blaOXA-30-like,1
BRA013,OXA-48,,,
BRA013,SHV,,,
BRA013,TEM,,,
BRA013,VEB,,,
BRA013,VIM,,,
BRA013,aac(3)-II,,,
BRA013,aacA27,,,
BRA013,aacA4,,,
BRA013,aadB,,,
BRA013,armA,,,
BRA013,blaACT/blaMIR,,,
BRA013,blaCMY-2-like,,,
BRA013,blaCTX-M,80,G1-240G,1
BRA013,fosA3,,,
BRA013,rmtB,,,
BRA013,rmtC,,,
BRA013,rmtF,,,
BRA014,DHA,,,
BRA014,GES,,,
BRA014,IMP,,,
BRA014,KPC,,,
BRA014,NDM,,,
BRA014,OXA-10,,,
BRA014,OXA-30,,,
BRA014,OXA-48,,,
BRA014,SHV,,,
BRA014,TEM,,,
BRA014,VEB,,,
BRA014,VIM,,,
BRA014,aac(3)-II,,,
BRA014,aacA27,,,
BRA014,aacA4,,,
BRA014,aadB,,,
BRA014,armA,,,
BRA014,blaACT/blaMIR,,,
BRA014,blaCMY-2-like,,,
BRA014,blaCTX-M,64,G8,1
BRA014,fosA3,,,
BRA014,rmtB,,,
BRA014,rmtC,,,
BRA014,rmtF,,,
BRA015,DHA,,,
BRA015,GES,,,
BRA015,IMP,,,
BRA015,KPC,,,
BRA015,NDM,,,
BRA015,OXA-10,,,
BRA015,OXA-30,,,
BRA015,OXA-48,,,
BRA015,SHV,,,
BRA015,TEM,,,
BRA015,VEB,,,
BRA015,VIM,,,
BRA015,aac(3)-II,,,
BRA015,aacA27,,,
BRA015,aacA4,,,
BRA015,aadB,,,
BRA015,armA,,,
BRA015,blaACT/blaMIR,,,
BRA015,blaCMY-2-like,,,
BRA015,blaCTX-M,81,G1-240G+G8,1
BRA015,fosA3,,,
BRA015,rmtB,,,
BRA015,rmtC,,,
BRA015,rmtF,,,
BRA016,DHA,,,
BRA016,GES,,,
BRA016,IMP,,,
BRA016,KPC,,,
BRA016,NDM,,,
BRA016,OXA-10,,,
BRA016,OXA-30,117,blaOXA-30-like,1
BRA016,OXA-48,,,
BRA016,SHV,,,
BRA016,TEM,157,blaTEM-1-like,1
BRA016,VEB,,,
BRA016,VIM,,,
BRA016,aac(3)-II,7,aac(3)-IId,1
BRA016,aacA27,,,
BRA016,aacA4,,,
BRA016,aadB,,,
BRA016,armA,,,
BRA016,blaACT/blaMIR,,,
BRA016,blaCMY-2-like,,,
BRA016,blaCTX-M,80,G1-240G,1
BRA016,fosA3,,,
BRA016,rmtB,,,
BRA016,rmtC,,,
BRA016,rmtF,,,
BRA017,DHA,,,
BRA017,GES,,,
BRA017,IMP,,,
BRA017,KPC,,,
BRA017,NDM,,,
BRA017,OXA-10,,,
BRA017,OXA-30,,,
BRA017,OXA-48,,,
BRA017,SHV,,,
BRA017,TEM,,,
BRA017,VEB,,,
BRA017,VIM,,,
BRA017,aac(3)-II,,,
BRA017,aacA27,,,
BRA017,aacA4,,,
BRA017,aadB,,,
BRA017,armA,,,
BRA017,blaACT/blaMIR,,,
BRA017,blaCMY-2-like,,,
BRA017,blaCTX-M,66,G2,1
BRA017,fosA3,,,
BRA017,rmtB,,,
BRA017,rmtC,,,
BRA017,rmtF,,,
BRA018,DHA,,,
BRA018,GES,,,
BRA018,IMP,,,
BRA018,KPC,,,
BRA018,NDM,,,
BRA018,OXA-10,,,
BRA018,OXA-30,,,
BRA018,OXA-48,,,
BRA018,SHV,,,
BRA018,TEM,157,blaTEM-1-like,1
BRA018,VEB,,,
BRA018,VIM,,,
BRA018,aac(3)-II,,,
BRA018,aacA27,,,
BRA018,aacA4,,,
BRA018,aadB,,,
BRA018,armA,,,
BRA018,blaACT/blaMIR,,,
BRA018,blaCMY-2-like,,,
BRA018,blaCTX-M,64,G8,1
BRA018,fosA3,,,
BRA018,rmtB,,,
BRA018,rmtC,,,
BRA018,rmtF,,,
BRA019,DHA,,,
BRA019,GES,,,
BRA019,IMP,,,
BRA019,KPC,,,
BRA019,NDM,,,
BRA019,OXA-10,,,
BRA019,OXA-30,117,blaOXA-30-like,1
BRA019,OXA-48,,,
BRA019,SHV,,,
BRA019,TEM,,,
BRA019,VEB,,,
BRA019,VIM,,,
BRA019,aac(3)-II,16,aac(3)-IIe,1
BRA019,aacA27,,,
BRA019,aacA4,,,
BRA019,aadB,,,
BRA019,armA,,,
BRA019,blaACT/blaMIR,,,
BRA019,blaCMY-2-like,,,
BRA019,blaCTX-M,80,G1-240G,1
BRA019,fosA3,,,
BRA019,rmtB,,,
BRA019,rmtC,,,
BRA019,rmtF,,,
BRA020,DHA,,,
BRA020,GES,,,
BRA020,IMP,,,
BRA020,KPC,113,blaKPC,1
BRA020,NDM,,,
BRA020,OXA-10,,,
BRA020,OXA-30,,,
BRA020,OXA-48,,,
BRA020,SHV,,,
BRA020,TEM,157,blaTEM-1-like,1
BRA020,VEB,,,
BRA020,VIM,,,
BRA020,aac(3)-II,,,
BRA020,aacA27,,,
BRA020,aacA4,,,
BRA020,aadB,48,aadB,1
BRA020,armA,,,
BRA020,blaACT/blaMIR,,,
BRA020,blaCMY-2-like,,,
BRA020,blaCTX-M,,,
BRA020,fosA3,,,
BRA020,rmtB,,,
BRA020,rmtC,,,
BRA020,rmtF,,,
BRA021,DHA,,,
BRA021,GES,,,
BRA021,IMP,,,
BRA021,KPC,113,blaKPC,1
BRA021,NDM,,,
BRA021,OXA-10,,,
BRA021,OXA-30,,,
BRA021,OXA-48,,,
BRA021,SHV,,,
BRA021,TEM,157,blaTEM-1-like,1
BRA021,VEB,,,
BRA021,VIM,,,
BRA021,aac(3)-II,,,
BRA021,aacA27,,,
BRA021,aacA4,,,
BRA021,aadB,,,
BRA021,armA,,,
BRA021,blaACT/blaMIR,,,
BRA021,blaCMY-2-like,,,
BRA021,blaCTX-M,80,G1-240G,1
BRA021,fosA3,,,
BRA021,rmtB,,,
BRA021,rmtC,,,
BRA021,rmtF,,,
BRA022,DHA,,,
BRA022,GES,,,
BRA022,IMP,,,
BRA022,KPC,,,
BRA022,NDM,,,
BRA022,OXA-10,,,
BRA022,OXA-30,117,blaOXA-30-like,1
BRA022,OXA-48,,,
BRA022,SHV,,,
BRA022,TEM,,,
BRA022,VEB,,,
BRA022,VIM,,,
BRA022,aac(3)-II,,,
BRA022,aacA27,,,
BRA022,aacA4,,,
BRA022,aadB,,,
BRA022,armA,,,
BRA022,blaACT/blaMIR,,,
BRA022,blaCMY-2-like,,,
BRA022,blaCTX-M,80,G1-240G,1
BRA022,fosA3,,,
BRA022,rmtB,,,
BRA022,rmtC,,,
BRA022,rmtF,,,
BRA023,DHA,,,
BRA023,GES,,,
BRA023,IMP,,,
BRA023,KPC,,,
BRA023,NDM,,,
BRA023,OXA-10,,,
BRA023,OXA-30,,,
BRA023,OXA-48,,,
BRA023,SHV,,,
BRA023,TEM,,,
BRA023,VEB,,,
BRA023,VIM,,,
BRA023,aac(3)-II,,,
BRA023,aacA27,,,
BRA023,aacA4,,,
BRA023,aadB,,,
BRA023,armA,,,
BRA023,blaACT/blaMIR,,,
BRA023,blaCMY-2-like,,,
BRA023,blaCTX-M,74,G9-240G,1
BRA023,fosA3,,,
BRA023,rmtB,,,
BRA023,rmtC,,,
BRA023,rmtF,,,
BRA024,DHA,,,
BRA024,GES,,,
BRA024,IMP,,,
BRA024,KPC,,,
BRA024,NDM,,,
BRA024,OXA-10,,,
BRA024,OXA-30,,,
BRA024,OXA-48,,,
BRA024,SHV,,,
BRA024,TEM,,,
BRA024,VEB,,,
BRA024,VIM,,,
BRA024,aac(3)-II,,,
BRA024,aacA27,,,
BRA024,aacA4,,,
BRA024,aadB,,,
BRA024,armA,,,
BRA024,blaACT/blaMIR,,,
BRA024,blaCMY-2-like,,,
BRA024,blaCTX-M,64,G8,1
BRA024,fosA3,,,
BRA024,rmtB,,,
BRA024,rmtC,,,
BRA024,rmtF,,,
BRA025,DHA,,,
BRA025,GES,,,
BRA025,IMP,,,
BRA025,KPC,,,
BRA025,NDM,,,
BRA025,OXA-10,,,
BRA025,OXA-30,117,blaOXA-30-like,1
BRA025,OXA-48,,,
BRA025,SHV,,,
BRA025,TEM,,,
BRA025,VEB,,,
BRA025,VIM,,,
BRA025,aac(3)-II,,,
BRA025,aacA27,,,
BRA025,aacA4,,,
BRA025,aadB,,,
BRA025,armA,,,
BRA025,blaACT/blaMIR,,,
BRA025,blaCMY-2-like,,,
BRA025,blaCTX-M,80,G1-240G,1
BRA025,fosA3,,,
BRA025,rmtB,,,
BRA025,rmtC,,,
BRA025,rmtF,,,
BRA026,DHA,,,
BRA026,GES,,,
BRA026,IMP,,,
BRA026,KPC,,,
BRA026,NDM,,,
BRA026,OXA-10,,,
