Sample_Id,aac(3)-II,aacA27,aacA4,aadB,armA,blaACT/blaMIR,blaCMY-2-like,blaCTX-M,DHA,fosA3,GES,IMP,KPC,NDM,OXA-10,OXA-30,OXA-48,rmtB,rmtC,rmtF,SHV,TEM,VEB,VIM
BRA001,aac(3)-IIe_3neg,NA,NA,NA,NA,NA,NA,G8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA002,NA,NA,NA,NA,NA,NA,NA,G1-240G+G8,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA003,aac(3)-IIe,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA004,NA,NA,NA,NA,NA,NA,NA,G2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA005,aac(3)-IId,NA,NA,NA,NA,NA,NA,G8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA006,NA,NA,NA,NA,NA,NA,NA,NA,NA,fosA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA007,NA,NA,NA,NA,NA,NA,blaCMY-2-like,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM_1neg,NA,NA
BRA010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA011,NA,NA,NA,NA,NA,NA,NA,G8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA012,NA,NA,NA,NA,NA,NA,NA,G8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA013,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA014,NA,NA,NA,NA,NA,NA,NA,G8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA015,NA,NA,NA,NA,NA,NA,NA,G1-240G+G8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA016,aac(3)-IId,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA017,NA,NA,NA,NA,NA,NA,NA,G2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA018,NA,NA,NA,NA,NA,NA,NA,G8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA019,aac(3)-IIe,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA020,NA,NA,NA,aadB,NA,NA,NA,NA,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA021,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,blaKPC,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA022,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA023,NA,NA,NA,NA,NA,NA,NA,G9-240G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA024,NA,NA,NA,NA,NA,NA,NA,G8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA025,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA026,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM_2neg,NA,NA
BRA028,NA,NA,NA,NA,NA,NA,blaCMY-2-like,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA029,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA030,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,G8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA031,NA,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA032,aac(3)-IIe,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA033,NA,NA,NA,NA,NA,NA,NA,G9-240G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA034,aac(3)-IIe,NA,NA,NA,NA,NA,NA,G1-240G,NA,NA,NA,NA,NA,NA,NA,blaOXA-30-like,NA,NA,NA,NA,NA,NA,NA,NA
BRA035,aac(3)-IId,NA,aacA4notGEN_1neg,NA,NA,NA,NA,G9-240D,NA,NA,NA,NA,NA,NA,NA,NA,NA,rmtB,NA,NA,NA,blaTEM-1-like,NA,NA
BRA036,aac(3)-IId,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
BRA037,NA,NA,NA,NA,NA,NA,blaCMY-2-like,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blaTEM-1-like,NA,NA
