New_Id,Sample_Id,aac(3)-II,aacA27,aacA4,aadB,armA,blaACT/blaMIR,blaCMY-2-like,blaCTX-M,DHA,fosA3,GES,IMP,KPC,NDM,OXA-10,OXA-30,OXA-48,rmtB,rmtC,rmtF,SHV,TEM,VEB,VIM
BRA001,BRA001,aac(3)-IIe_3neg,,,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA002,BRA002,,,,,,,,G1-240G+G8,,,,,,,,blaOXA-30-like,,,,,,,,
BRA003,BRA003,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA004,BRA004,,,,,,,,G2,,,,,,,,,,,,,,blaTEM-1-like,,
BRA005,BRA005,aac(3)-IId,,,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA006,BRA006,,,,,,,,,,fosA3,,,,,,,,,,,,blaTEM-1-like,,
BRA007,BRA007,,,,,,,blaCMY-2-like,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA008,BRA008,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA009,BRA009,,,,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
BRA010,BRA010,,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA011,BRA011,,,,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA012,BRA012,,,,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA013,BRA013,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA014,BRA014,,,,,,,,G8,,,,,,,,,,,,,,,,
BRA015,BRA015,,,,,,,,G1-240G+G8,,,,,,,,,,,,,,,,
BRA016,BRA016,aac(3)-IId,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA017,BRA017,,,,,,,,G2,,,,,,,,,,,,,,,,
BRA018,BRA018,,,,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA019,BRA019,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA020,BRA020,,,,aadB,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA021,BRA021,,,,,,,,G1-240G,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
BRA022,BRA022,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA023,BRA023,,,,,,,,G9-240G,,,,,,,,,,,,,,,,
BRA024,BRA024,,,,,,,,G8,,,,,,,,,,,,,,,,
BRA025,BRA025,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA026,BRA026,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA027,BRA027,,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
BRA028,BRA028,,,,,,,blaCMY-2-like,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA029,BRA029,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA030,BRA030,aac(3)-IId,,aacA4notGEN_1neg,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA031,BRA031,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA032,BRA032,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA033,BRA033,,,,,,,,G9-240G,,,,,,,,,,,,,,blaTEM-1-like,,
BRA034,BRA034,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA035,BRA035,aac(3)-IId,,aacA4notGEN_1neg,,,,,G9-240D,,,,,,,,,,rmtB,,,,blaTEM-1-like,,
BRA036,BRA036,aac(3)-IId,,,,,,,G9-240D+G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA037,BRA037,,,,,,,blaCMY-2-like,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA038,BRA038,,,,,,,,G8,,,,,,,,,,,,,,,,
BRA039,BRA039,,,,,,,,G9-240D,,,,,,,,,,,,,,,,
BRA040,BRA040,,,,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA041,BRA041,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA042,BRA042,,,,,,,blaCMY-2-like,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA043,BRA043,aac(3)-IId,,aacA4notGEN_1neg,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA044,BRA044,,,,,,,blaCMY-2-like,,,,,,blaKPC,,,,,,,,,blaTEM_1neg,,
BRA045,BRA045,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA046,BRA046,aac(3)-IId+IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA047,BRA047,aac(3)-IId+IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA048,BRA048,negative,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
BRA049,BRA049,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
BRA050,BRA050,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA052,BRA052,,,,,,,,G1-240G_5G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA053,BRA053,,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
BRA054,BRA054,negative,,,,,,,G1-240G,,,,,blaKPC,,,,,,,,,blaTEM_2neg,,
BRA055,BRA055,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
