Sample Id,Site,Species,3GCR,GENR,Old_Id,aac(3)-II,aacA27,aacA4,aadB,armA,blaACT/blaMIR,blaCMY-2-like,blaCTX-M,DHA,fosA3,GES,IMP,KPC,NDM,OXA-10,OXA-30,OXA-48,rmtB,rmtC,rmtF,SHV,TEM,VEB,VIM
BRA001,Brazil,E. coli,R,S,BRA001,aac(3)-IIe_3neg,,,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA002,Brazil,E. coli,R,S,BRA002,,,,,,,,G1-240G+G8,,,,,,,,blaOXA-30-like,,,,,,,,
BRA003,Brazil,E. coli,R,R,BRA003,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA004,Brazil,E. coli,R,S,BRA004,,,,,,,,G2,,,,,,,,,,,,,,blaTEM-1-like,,
BRA005,Brazil,E. coli,R,R,BRA005,aac(3)-IId,,,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA006,Brazil,E. coli,R,S,BRA006,,,,,,,,,,fosA3,,,,,,,,,,,,blaTEM-1-like,,
BRA007,Brazil,E. coli,R,S,BRA007,,,,,,,blaCMY-2-like,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA008,Brazil,E. coli,R,S,BRA008,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
BRA009,Brazil,E. coli,R,S,BRA009,,,,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
BRA010,Brazil,E. coli,R,S,BRA010,,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
BRA011,Brazil,E. coli,R,S,BRA011,,,,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA012,Brazil,E. coli,R,S,BRA012,,,,,,,,G8,,,,,,,,,,,,,,blaTEM-1-like,,
BRA013,Brazil,E. coli,R,S,BRA013,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
BRA014,Brazil,E. coli,R,S,BRA014,,,,,,,,G8,,,,,,,,,,,,,,,,
